Temp_Celcius,Synthesis_Duration_h,Scale_synthesis_ml,Precurcor_conc_mM,Capping agent concentration_mg/mL,Reducing agent quantity mL,UVVIs PEAKS nm,core size (nm),exposure dose concentration mg/mL,Exposure duration  (h),Bacteria reduction mm,Process_encoded,Steps_encoded,External_energy_encoded,Stirring_encoded,NEW_Capping agent_encoded,NEW_capping agent_Class_encoded,NEW_reducing agent_encoded,NEW_reducing agent_class_encoded,Order of reagent_CODE_encoded,treatment_encoded,shape_encoded,Method of determination_size_encoded,bacterial  Culture medium_encoded,bacterial  Species_encoded
25.0,3.0,130.0,3.0,50.0,5.0,430.0,50.0,0.062,24.0,9.52,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Salmonella
25.0,3.0,112.0,3.0,50.0,5.0,430.0,50.0,0.031,24.0,8.32,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Salmonella
25.0,3.0,130.0,3.0,50.0,5.0,430.0,50.0,0.5,24.0,11.02,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Staphylococcus
25.0,3.5,112.0,3.0,50.0,5.0,430.0,50.0,0.125,24.0,10.32,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Staphylococcus
25.0,48.0,212.0,1.0,250.0,10.0,400.0,18.0,0.5,24.0,18.18,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Agrobacterium tumefaciens,Calcateuticals anitratus,Aeromonas,Acinetobacter
25.0,4.0,70.0,7.0,91.0,10.0,430.0,25.0,0.09,24.0,10.3,Aspergillus,Actinomycetes,Aspergillus,Aeromonas,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Agrobacterium tumefaciens,Aspergillus,Campylobacter,Bacillus,Aspergillus,Enterococcus
25.0,3.0,150.0,1.0,100.0,49.0,450.0,48.0,10.0,24.0,18.2,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Aspergillus,Calcateuticals anitratus,Bacillus,Aspergillus,Staphylococcus
25.0,3.0,125.0,3.0,50.0,5.0,430.0,50.0,0.5,24.0,9.91,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Escherichia coli
25.0,3.0,150.0,3.0,50.0,5.0,430.0,50.0,1.0,24.0,12.38,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Listeria monocytogenes
25.0,3.0,130.0,3.0,50.0,5.0,430.0,50.0,0.5,24.0,10.78,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Salmonella
60.0,4.0,11.0,5.0,10.0,1.0,430.0,56.0,0.5,24.0,20.87,Acinetobacter,Actinomycetes,Actinomycetes,Agrobacterium tumefaciens,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Calcateuticals anitratus,Campylobacter,Bacillus,Acinetobacter,Acinetobacter
25.0,48.0,94.0,4.0,250.0,14.0,400.0,18.0,0.5,24.0,15.23,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Calcateuticals anitratus,Candida,Aeromonas,Klebsiella
25.0,48.0,180.0,1.0,250.0,10.0,400.0,18.0,0.5,24.0,19.25,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Agrobacterium tumefaciens,Calcateuticals anitratus,Aeromonas,Pseudomonas
25.0,3.0,125.0,3.0,50.0,5.0,430.0,50.0,0.125,24.0,9.27,Aspergillus,Actinomycetes,Aspergillus,Aspergillus,Candida,Agrobacterium tumefaciens,Campylobacter,Aeromonas,Actinomycetes,Acinetobacter,Campylobacter,Aeromonas,Aspergillus,Escherichia coli
25.0,48.0,114.0,4.0,250.0,12.0,400.0,18.0,0.5,24.0,22.28,Acinetobacter,Actinomycetes,Aspergillus,Aeromonas,Actinomycetes,Agrobacterium tumefaciens,Acinetobacter,Aeromonas,Agrobacterium tumefaciens,Actinomycetes,Calcateuticals anitratus,Candida,Aeromonas,Pseudomonas
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.5,24.0,11.46,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Staphylococcus
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.5,24.0,8.46,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Bacillus
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.25,24.0,8.62,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Pseudomonas
60.0,48.0,200.0,10.0,100.0,20.0,445.0,40.45,0.5,24.0,9.46,Aspergillus,Actinomycetes,Actinomycetes,Acinetobacter,Agrobacterium tumefaciens,Agrobacterium tumefaciens,Actinomycetes,Aeromonas,Actinomycetes,Campylobacter,Candida,Bacillus,Aspergillus,Escherichia coli
